55,Movie,InuYasha the Movie Affections Touching Across Time,September 15 2021,2001,TV-PG,100 min,A powerful demon has been sealed away for 200 years. But when the demons son is awakened the fate of the world is in jeopardy.
56,TV Show,Nailed It,September 15 2021,2021,TV-14,6 Seasons,Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10000 prize. Its part reality contest part hot mess.
57,Movie,Naruto Shippuden the Movie Blood Prison,September 15 2021,2011,TV-PG,102 min,Mistakenly accused of an attack on the Fourth Raikage ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.
58,Movie,Naruto Shippûden the Movie Bonds,September 15 2021,2008,TV-PG,93 min,When strange ninjas ambush the village of Konohagakure its up to adolescent ninja Naruto and his long-missing pal Sasuke to save the planet.
59,Movie,Naruto Shippûden the Movie The Will of Fire,September 15 2021,2009,TV-PG,96 min,When four out of five ninja villages are destroyed the leader of the one spared tries to find the true culprit and protect his land.
60,Movie,Naruto Shippuden The Movie,September 15 2021,2007,TV-14,95 min,The adventures of adolescent ninja Naruto Uzumaki continue as hes tasked with protecting a priestess from a demon – but to do so he must die.
61,Movie,Naruto Shippuden The Movie The Lost Tower,September 15 2021,2010,TV-PG,85 min,When Naruto is sent to recover a missing nin the rogue manages to send him 20 years into the past where he unites with his father to battle evil.
62,Movie,Naruto the Movie 2 Legend of the Stone of Gelel,September 15 2021,2005,TV-PG,97 min,While on a mission to return a missing pet Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.
63,Movie,Naruto the Movie 3 Guardians of the Crescent Moon Kingdom,September 15 2021,2006,TV-PG,95 min,Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son Hikaru to the Crescent Moon kingdom.
64,Movie,Naruto the Movie Ninja Clash in the Land of Snow,September 15 2021,2004,TV-PG,83 min,Naruto Sasuke and Sakura learn theyll be protecting an actress from being hurt while making her next film but it turns out shes a princess.
65,Movie,Nightbooks,September 15 2021,2021,TV-Y,103 min,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witchs magical apartment forever.
66,TV Show,Numberblocks,September 15 2021,2021,TV-G,6 Seasons,In a place called Numberland math adds up to tons of fun when a group of cheerful blocks work play and sing together.
67,TV Show,Raja Rasoi Aur Anya Kahaniyan,September 15 2021,2014,TV-PG,1 Season,Explore the history and flavors of regional Indian cuisine from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.
68,TV Show,Saved by the Bell,September 15 2021,1994,TV-14,9 Seasons,From middle school to college best friends Zack Kelly Slater Jessie Screech and Lisa take on the highs and lows of life together in this hit series.
69,Movie,Schumacher,September 15 2021,2021,TV-PG,113 min,Through exclusive interviews and archival footage this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.
70,TV Show,Stories by Rabindranath Tagore,September 15 2021,2015,TV-MA,1 Season,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.
71,TV Show,Too Hot To Handle Latino,September 15 2021,2021,TV-Y,1 Season,On this reality show singles from Latin America and Spain are challenged to give up sex. But here abstinence comes with a silver lining US$100000.
72,Movie,A StoryBots Space Adventure,September 14 2021,2021,TV-MA,13 min,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids questions about space.
73,TV Show,Jack Whitehall Travels with My Father,September 14 2021,2021,TV-MA,5 Seasons,Jovial comic Jack Whitehall invites his stuffy father Michael to travel with him through Southeast Asia in an attempt to strengthen their bond.
74,Movie,King of Boys,September 14 2021,2018,TV-PG,182 min,When a powerful businesswoman’s political ambitions are threatened by her underworld connections the ensuing power struggle could cost her everything.
75,TV Show,The Worlds Most Amazing Vacation Rentals,September 14 2021,2021,TV-G,2 Seasons,With an eye for every budget three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.
76,Movie,You vs. Wild Out Cold,September 14 2021,2021,TV-14,106 min,After a plane crash leaves Bear with amnesia he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.
77,TV Show,Yowamushi Pedal,September 14 2021,2013,TV-Y7,1 Season,A timid anime-loving teen gets drawn into a school cycling club where his new friends help him face tough challenges to develop his racing talent.
78,Movie,Little Singham - Black Shadow,September 11 2021,2021,TV-14,48 min,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
79,Movie,Tughlaq Durbar,September 11 2021,2020,TV-14,145 min,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
80,Movie,Tughlaq Durbar (Telugu),September 11 2021,2021,TV-Y7,145 min,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
81,Movie,Firedrake the Silver Dragon,September 10 2021,2021,R,93 min,When his home is threatened by humans a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.
