40,Yuri Lowenthal Kimberly Brooks Antony Del Rio Trevor Devall Ben Diskin Grey Griffin David Kaye Tom Kenny Judy Alice Lee Roger Craig Smith Fred Tatasciore
41,Roy Scheider Robert Shaw Richard Dreyfuss Lorraine Gary Murray Hamilton Carl Gottlieb Jeffrey Kramer Susan Backlinie Jonathan Filley Ted Grossman
42,Roy Scheider Lorraine Gary Murray Hamilton Joseph Mascolo Jeffrey Kramer Collin Wilcox Paxton Ann Dusenberry Mark Gruner Barry Coe Susan French
43,Dennis Quaid Bess Armstrong Simon MacCorkindale Louis Gossett Jr. John Putch Lea Thompson P.H. Moriarty Dan Blasko Liz Morris Lisa Maurer
44,Lorraine Gary Lance Guest Mario Van Peebles Karen Young Michael Caine Judith Barsi Mitchell Anderson Lynn Whitfield
45,
46,Denzel Washington Ryan Reynolds Vera Farmiga Brendan Gleeson Sam Shepard Rubén Blades Nora Arnezeder Robert Patrick Liam Cunningham Joel Kinnaman
47,Osas Ighodaro Ini Dima-Okojie Kemi Lala Akindoju Toni Tones Ebenezer Eno Eso Okolocha DIke Patrick Diabuah Karibi Fubara Temisan Emmanuel Timini Egbuson
48,Denzel Washington Ethan Hawke Scott Glenn Tom Berenger Harris Yulin Raymond J. Barry Cliff Curtis Dr. Dre Snoop Dogg Macy Gray Eva Mendes
49,Richard Mofe-Damijo Dakore Akande Bimbo Manuel Blossom Chukwujekwu Deyemi Okanlawon Etim Effiong Denola Grey Duke Akintola Eku Edewor Ade Laoye Anee Icha Kevin Ushi Jude Chukwuka Amanda Afolabi
50,Kashmira Irani Chandan Anand Dinesh Mehta Ankit Arora Pushkar Goggiaa Anjali Rana Aarya DharmChand Kumar Amit Behl Maleeka Ghai
51,Kappei Yamaguchi Satsuki Yukino Mieko Harada Koji Tsujitani Houko Kuwashima Kumiko Watanabe Noriko Hidaka Kenichi Ogata Toshiyuki Morikawa Izumi Ogami
52,Kappei Yamaguchi Satsuki Yukino Koji Tsujitani Houko Kuwashima Kumiko Watanabe Ken Narita Akio Otsuka Kikuko Inoue
53,Kappei Yamaguchi Satsuki Yukino Koji Tsujitani Houko Kuwashima Kumiko Watanabe Noriko Hidaka Ken Narita Cho Mamiko Noto Nobutoshi Canna
54,Kappei Yamaguchi Satsuki Yukino Koji Tsujitani Houko Kuwashima Kumiko Watanabe Kenichi Ogata Noriko Hidaka Hisako Kyoda Ken Narita Tomokazu Seki
55,Nicole Byer Jacques Torres
56,Junko Takeuchi Chie Nakamura Rikiya Koyama Kazuhiko Inoue Masaki Terasoma Mie Sonozaki Yuichi Nakamura Kengo Kawanishi Kosei Hirota Masako Katsuki
